symbol,variant,enable_alpha_factors,enable_sentiment,n_tests,accuracy,baseline_accuracy,delta_vs_baseline_pp,n_long,n_short,long_win_rate,short_win_rate,account_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,hit_rate_pct,mcnemar_p_value_vs_baseline,lift_ci_95_vs_baseline,newey_west_p_value_vs_baseline,data_start,data_end,window_size,step,protocol,seed,alpha_contribution_pp,sentiment_contribution_pp,synergy_pp,full_lift_pp
FPT,full,True,True,20,55.0,45.0,10.0,4,16,25.0,62.5,-4.61,-5.24,-4.33,5.03,25.0,0.6875,"[-5.0, 30.0]",0.3360805202886181,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,0.0,5.0,10.0
FPT,alpha_only,True,False,20,50.0,45.0,5.0,9,11,33.3,63.6,-7.85,-4.15,-6.06,8.62,33.3,1.0,"[-10.0, 20.0]",0.5060670856887157,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,0.0,5.0,10.0
FPT,sentiment_only,False,True,20,45.0,45.0,0.0,10,10,30.0,60.0,-7.38,-2.98,-6.01,10.12,30.0,1.0,"[-5.0, 15.0]",1.0,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,0.0,5.0,10.0
FPT,baseline,False,False,20,45.0,45.0,0.0,10,10,30.0,60.0,-6.09,-2.47,-4.36,8.87,30.0,1.0,"[0.0, 0.0]",1.0,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,0.0,5.0,10.0
VNM,full,True,True,20,60.0,45.0,15.0,3,17,33.3,64.7,-4.03,-2.94,-8.54,6.08,33.3,0.453125,"[-10.0, 40.0]",0.22375144469313504,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,5.0,10.0,15.0
VNM,alpha_only,True,False,20,50.0,45.0,5.0,9,11,33.3,63.6,2.26,1.04,1.51,6.06,33.3,1.0,"[-10.0, 15.0]",0.5060670856887157,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,5.0,10.0,15.0
VNM,sentiment_only,False,True,20,50.0,45.0,5.0,7,13,28.6,61.5,-5.86,-2.56,-3.84,10.02,28.6,1.0,"[-15.0, 20.124999999999886]",0.5601459927646104,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,5.0,10.0,15.0
VNM,baseline,False,False,20,45.0,45.0,0.0,10,10,30.0,60.0,-3.96,-1.24,-2.07,10.25,30.0,1.0,"[0.0, 0.0]",1.0,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,5.0,5.0,10.0,15.0
VCB,full,True,True,20,45.0,40.0,5.0,6,14,16.7,57.1,-7.93,-6.92,-7.15,8.67,16.7,1.0,"[-5.0, 10.0]",0.44035466228742803,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,15.0,0.0,-10.0,5.0
VCB,alpha_only,True,False,20,55.0,40.0,15.0,4,16,25.0,62.5,-2.75,-4.42,-6.16,2.75,25.0,0.375,"[-5.0, 45.0]",0.16224616273868878,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,15.0,0.0,-10.0,5.0
VCB,sentiment_only,False,True,20,40.0,40.0,0.0,9,11,22.2,54.5,-9.23,-5.27,-7.21,9.23,22.2,1.0,"[-15.0, 15.0]",1.0,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,15.0,0.0,-10.0,5.0
VCB,baseline,False,False,20,40.0,40.0,0.0,7,13,14.3,53.8,-11.34,-8.16,-9.22,11.34,14.3,1.0,"[0.0, 0.0]",1.0,2023-10-26,2026-09-18,45,3,four_way_shared_upstream,42,15.0,0.0,-10.0,5.0
